FirstName,Name,playerID,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,FldPct,Rtot,RtotperYr,Rdrs,RdrsPerYr,RFPer9,RFPerG,PB,WP,SB,CS,CS%,lgCSct,PO,Pos.Summary
Cristhian,Adames,adamecr01,25,2,1,0,9,4,3,1,0,0,1,-1,-87,-1,-120,4,1.33,,,,,,,,SS-2B-1B
Alexi,Amarista,amarial01,28,5,2,0,19,1,1,0,0,0,1,-2,-99,-3,-196,0.47,0.2,,,,,,,,LF-2B-RF
Tyler,Anderson,anderty01,27,6,6,0,30.1,6,0,5,1,1,0.833,,,-1,-7,1.48,0.83,,,2,0,0,0.26,0,P
Nolan,Arenado,arenano01,26,26,26,25,232,53,7,46,0,7,1,4,18,2,11,2.06,2.04,,,,,,,,3B
Charlie,Blackmon,blackch02,30,26,26,26,234,56,54,1,1,1,0.982,1,6,-2,-11,2.12,2.12,,,,,,,,CF
Stephen,Cardullo,cardust01,29,8,6,3,55.1,13,13,0,0,0,1,2,42,1,22,2.11,1.63,,,,,,,,LF-RF
Shane,Carle,carlesh01,25,1,0,0,1,0,0,0,0,0,,,,0,0,0,0,,,0,0,,,0,P
Tyler,Chatwood,chatwty01,27,5,5,1,31.1,10,1,9,0,0,1,,,3,19,2.87,2,,,0,2,100%,26%,2,P
Ian,Desmond,desmoia01,31,1,1,1,12,2,2,0,0,0,1,0,0,0,0,1.5,2,,,,,,,,LF
Mike,Dunn,dunnmi01,32,10,0,0,7.2,0,0,0,0,0,,,,0,0,0,0,,,0,1,1,0.26,0,P
Carlos,Estevez,estevca01,24,12,0,0,10.1,1,0,1,0,0,1,,,0,0,0.87,0.08,,,0,0,,,0,P
Kyle,Freeland,freelky01,24,5,5,0,27.2,8,1,7,0,0,1,,,0,0,2.6,1.6,,,2,0,0%,26%,0,P
Dustin,Garneau,garnedu01,29,15,12,12,115,94,88,6,0,0,1,0,1,-1,-8,7.36,6.27,1,2,5,1,0.17,0.26,0,C
Carlos,Gonzalez,gonzaca01,31,24,24,22,209,50,46,1,3,1,0.94,-6,-35,0,0,2.02,1.96,,,,,,,,RF
Jon,Gray,grayjo02,25,3,3,0,12.1,3,1,2,0,0,1,,,0,0,2.19,1,,,0,0,,,0,P
Greg,Holland,hollagr01,31,12,0,0,12,1,1,0,0,0,1,,,-1,-17,0.75,0.08,,,0,0,,,0,P
DJ,LeMahieu,lemahdj01,28,25,24,23,217,131,33,97,1,19,0.992,6,31,4,23,5.39,5.2,,,,,,,,2B
Jordan,Lyles,lylesjo01,26,8,0,0,11.2,0,0,0,0,0,,,,0,0,0,0,,,1,0,0,0.26,0,P
German,Marquez,marquge01,22,2,2,0,10,0,0,0,0,0,,,,-1,-20,0,0,,,0,0,,,0,P
Jake,McGee,mcgeeja01,30,10,0,0,8.2,0,0,0,0,0,,,,0,0,0,0,,,0,0,,,0,P
Scott,Oberg,obergsc01,27,12,0,0,12,1,0,1,0,0,1,,,0,0,0.75,0.08,,,0,0,,,0,P
Adam,Ottavino,ottavad01,31,12,0,0,12.2,5,1,3,1,0,0.8,,,-1,-16,2.84,0.33,,,4,1,0.2,0.26,0,P
Gerardo,Parra,parrage01,30,20,18,16,164,45,43,1,1,3,0.978,-2,-14,3,20,2.41,2,,,,,,,,LF-1B-RF
Chad,Qualls,quallch01,38,2,0,0,2.1,0,0,0,0,0,,,,0,0,0,0,,,0,0,,,0,P
Mark,Reynolds,reynoma01,33,25,25,23,223,259,247,10,2,25,0.992,0,0,-2,-11,10.37,10.28,,,,,,,,1B
Chris,Rusin,rusinch01,30,7,0,0,12,2,0,2,0,1,1,,,1,17,1.5,0.29,,,0,0,,,0,P
Antonio,Senzatela,senzaan01,22,5,5,0,32,3,1,2,0,0,1,,,-1,-6,0.84,0.6,,,2,0,0%,26%,0,P
Trevor,Story,storytr01,24,26,25,24,224.2,132,44,86,2,22,0.985,1,4,1,5,5.21,5,,,,,,,,SS
Raimel,Tapia,tapiara01,23,2,2,2,17,4,4,0,0,0,1,0,-23,0,0,2.12,2,,,,,,,,LF
Pat,Valaika,valaipa01,24,4,2,1,20,9,5,4,0,1,1,0,-1,0,6,4.05,1.8,,,,,,,,2B-LF-SS-3B
Tony,Wolters,wolteto01,25,15,14,11,121,114,106,7,1,3,0.991,-1,-6,-3,-28,8.4,7.06,2,7,6,3,0.33,0.26,0,C-2B-3B
