Rk,Pos,Name,PlayerID,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Tony Wolters,wolteto01,25,4,15,13,5,4,0,0,0,0,0,0,2,2,0.308,0.4,0.308,0.708,93,4,2,0,0,0,1
2,1B,Mark Reynolds,reynoma01,33,7,28,26,4,9,3,0,3,8,0,1,2,7,0.346,0.393,0.808,1.201,208,21,0,0,0,0,0
3,2B,DJ LeMahieu,lemahdj01,28,7,27,25,3,4,0,1,0,1,0,0,2,5,0.16,0.222,0.24,0.462,23,6,0,0,0,0,0
4,SS,Trevor Story,storytr01,24,7,28,24,4,4,3,0,0,0,1,0,4,11,0.167,0.286,0.292,0.577,55,7,1,0,0,0,0
5,3B,Nolan Arenado,arenano01,26,7,29,26,6,8,2,0,2,4,0,0,2,4,0.308,0.379,0.615,0.995,158,16,1,1,0,0,0
6,LF,Gerardo Parra,parrage01,30,7,26,25,2,11,1,0,1,6,0,1,1,5,0.44,0.462,0.6,1.062,180,15,0,0,0,0,0
7,CF,Charlie Blackmon,blackch02,30,7,32,28,3,6,0,1,1,5,1,1,3,7,0.214,0.29,0.393,0.683,80,11,0,0,1,0,0
8,RF,Carlos Gonzalez,gonzaca01,31,6,26,24,0,4,2,0,0,1,0,0,1,7,0.167,0.192,0.25,0.442,17,6,0,0,0,1,0
9,C,Dustin Garneau,garnedu01,29,4,11,9,1,3,1,0,1,1,0,0,2,4,0.333,0.455,0.778,1.232,219,7,0,0,0,0,0
10,OF,Stephen Cardullo,cardust01,29,6,10,7,0,0,0,0,0,0,0,0,2,1,0,0.3,0,0.3,-9,0,0,1,0,0,0
11,2B,Alexi Amarista,amarial01,28,3,5,5,0,1,1,0,0,1,0,0,0,1,0.2,0.2,0.4,0.6,54,2,0,0,0,0,0
12,,Cristhian Adames,adamecr01,25,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
13,P,Tyler Anderson,anderty01,27,2,4,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,79,1,0,0,1,0,0
14,P,Jon Gray,grayjo02,25,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
15,P,Antonio Senzatela,senzaan01,22,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,2,0,0
16,P,Tyler Chatwood,chatwty01,27,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0
17,P,Kyle Freeland,freelky01,24,1,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,168,1,0,0,0,0,0
18,P,Jordan Lyles,lylesjo01,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
19,P,Greg Holland,hollagr01,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
20,P,Jake McGee,mcgeeja01,30,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
21,P,Scott Oberg,obergsc01,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
22,P,Carlos Estevez,estevca01,24,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
23,P,Mike Dunn,dunnmi01,32,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
24,P,Chris Rusin,rusinch01,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
25,P,Adam Ottavino,ottavad01,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
